college,cohort_year,analysis_included,complete_case,cohort_size,log_cohort_size,course_success,avg_successful_units,persistence,completed_30_units,math_english,transfer_4yr
West Valley College,19-20,True,True,1728.0,7.455298485683291,0.79096,15.20226,0.74248,0.16956,0.26852,0.28125
Woodland Community College,19-20,True,True,862.0,6.760414691083428,0.69591,12.69722,0.62993,0.09397,0.19258,0.16705
Yuba College,19-20,True,True,1446.0,7.277247726631484,0.65985,13.6518,0.65284,0.12932,0.14246,0.15145
Allan Hancock College,20-21,True,False,2208.0,7.700295203420117,0.64002,15.09307,0.6567,0.17754,0.1644,nan
American River College,20-21,True,False,4682.0,8.451694209183541,0.6682,9.63402,0.59868,0.06408,0.13968,nan
Antelope Valley College,20-21,True,False,2678.0,7.893198869544609,0.70078,15.1432,0.69455,0.15011,0.22293,nan
Bakersfield College,20-21,True,False,5133.0,8.543640361431086,0.573,13.36587,0.62575,0.15059,0.10657,nan
Barstow College,20-21,True,False,529.0,6.272877006546167,0.71626,15.33837,0.59924,0.20605,0.18526,nan
Berkeley City College,20-21,True,False,913.0,6.81783057145415,0.71877,8.68291,0.50602,0.03067,0.2322,nan
Butte College,20-21,True,False,2378.0,7.774435510302958,0.6838,14.2787,0.64718,0.13499,0.19134,nan
Cabrillo College,20-21,True,False,1943.0,7.572502985020384,0.68358,13.83568,0.80751,0.1472,0.16006,nan
Canada College,20-21,True,False,883.0,6.784457062637643,0.73253,9.6812,0.53681,0.06455,0.25821,nan
Cerritos College,20-21,True,False,4861.0,8.48920515487607,0.58764,11.65172,0.66776,0.11047,0.1438,nan
Cerro Coso Community College,20-21,True,False,1085.0,6.990256500493881,0.71732,11.94885,0.55576,0.10046,0.05806,nan
Chabot College,20-21,True,False,2466.0,7.810758116529357,0.74858,12.3159,0.65004,0.13179,0.16464,nan
Chaffey College,20-21,True,False,4059.0,8.308938252595778,0.61705,11.98934,0.64425,0.10643,0.13427,nan
Citrus College,20-21,True,False,2520.0,7.83241092718792,0.67766,15.50972,0.6373,0.22103,0.2496,nan
City College of San Francisco,20-21,True,False,3111.0,8.043020885298283,0.81488,11.60575,0.63677,0.10383,0.12633,nan
Clovis Community College,20-21,True,False,1937.0,7.569411792450712,0.73052,15.24884,0.65823,0.18637,0.2127,nan
Coalinga College,20-21,True,False,586.0,6.375024819828097,0.71078,9.90102,0.63311,0.06826,0.12116,nan
Coastline Community College,20-21,True,False,1172.0,7.067319848653476,0.7274,7.67747,0.36348,0.04266,0.09642,nan
College of Alameda,20-21,True,False,754.0,6.626717749249025,0.67942,6.52387,0.44828,0.02918,0.19098,nan
College of Marin,20-21,True,False,974.0,6.882437470997847,0.702,11.61627,0.62526,0.08214,0.12423,nan
College of San Mateo,20-21,True,False,1617.0,7.388946097618437,0.79882,14.4833,0.67718,0.13482,0.32035,nan
College of the Canyons,20-21,True,False,3693.0,8.214465160759186,0.78251,20.36682,0.72759,0.3049,0.32927,nan
College of the Desert,20-21,True,False,3108.0,8.042056410058754,0.6598,12.90878,0.63481,0.12773,0.04955,nan
College of the Redwoods,20-21,True,False,782.0,6.663132695990803,0.61657,12.5633,0.59335,0.10742,0.11253,nan
College of the Sequoias,20-21,True,False,2956.0,7.9919305198524775,0.71807,15.17845,0.69181,0.17219,0.16171,nan
College of the Siskiyous,20-21,True,False,309.0,5.736572297479192,0.71138,14.27346,0.60518,0.14239,0.15858,nan
Columbia College,20-21,True,False,719.0,6.579251212010101,0.79349,13.77747,0.64812,0.12935,0.12796,nan
Compton College,20-21,True,False,406.0,6.008813185442595,0.59931,10.49754,0.50246,0.08128,0.0936,nan
Contra Costa College,20-21,True,False,1188.0,7.080867896690782,0.6845,12.81288,0.53704,0.13468,0.18687,nan
Copper Mountain College,20-21,True,False,312.0,5.746203190540153,0.66667,11.30285,0.59936,0.08974,0.12179,nan
Cosumnes River College,20-21,True,False,3346.0,8.115819701211327,0.64531,10.44759,0.6321,0.07292,0.16318,nan
Crafton Hills College,20-21,True,False,1422.0,7.260522598089852,0.68361,14.76547,0.68847,0.16385,0.24684,nan
Cuesta College,20-21,True,False,1971.0,7.586803535162581,0.64719,15.62534,0.66362,0.1933,0.17402,nan
Cuyamaca College,20-21,True,False,1666.0,7.418780882750794,0.67354,8.35804,0.52521,0.04622,0.19688,nan
Cypress College,20-21,True,False,3107.0,8.041734711487537,0.73076,13.68201,0.66817,0.1355,0.19826,nan
De Anza College,20-21,True,False,4518.0,8.41604600941128,0.80419,nan,0.74369,nan,0.34772,nan
Diablo Valley College,20-21,True,False,4207.0,8.344742754417545,0.77292,16.54471,0.70953,0.22154,0.29617,nan
East Los Angeles College,20-21,True,False,3492.0,8.158516244806831,0.61418,12.28773,0.62743,0.12113,0.11483,nan
El Camino College,20-21,True,False,4577.0,8.429017500512511,0.65434,13.28742,0.67118,0.15097,0.21477,nan
Evergreen Valley College,20-21,True,False,1858.0,7.527793987721444,0.71977,11.48143,0.676,0.07858,0.22443,nan
Feather River College,20-21,True,False,343.0,5.840641657373398,0.80468,13.94898,0.63557,0.12828,0.15452,nan
Folsom Lake College,20-21,True,False,2380.0,7.7752758464868625,0.70702,11.6145,0.62983,0.09412,0.19286,nan
Foothill College,20-21,True,False,2370.0,7.771067086065406,0.74857,nan,0.57553,nan,0.19325,nan
Fresno City College,20-21,True,False,4520.0,8.416488487294606,0.62256,11.76892,0.64071,0.11018,0.10177,nan
Fullerton College,20-21,True,False,4837.0,8.484256691169973,0.77808,13.71491,0.67604,0.14575,0.20839,nan
Gavilan College,20-21,True,False,1004.0,6.912742820493176,0.67586,12.68277,0.60757,0.12649,0.18725,nan
Glendale Community College,20-21,True,False,2910.0,7.976251943745623,0.84859,18.37491,0.70756,0.25979,0.19003,nan
Golden West College,20-21,True,False,2321.0,7.7501841622578365,0.72401,15.05009,0.69065,0.17234,0.28738,nan
Grossmont College,20-21,True,False,3522.0,8.167068178341237,0.64738,10.94435,0.60846,0.06332,0.21238,nan
Hartnell College,20-21,True,False,2387.0,7.778211474512493,0.61368,13.49847,0.64307,0.16925,0.19439,nan
Imperial Valley College,20-21,True,False,1901.0,7.550661243105336,0.68226,15.89453,0.7738,0.19779,0.13835,nan
Irvine Valley College,20-21,True,False,2531.0,7.836764783264067,0.77139,18.73627,0.77756,0.26669,0.34927,nan
Lake Tahoe Community College,20-21,True,False,692.0,6.541029999189903,0.76352,nan,0.5448,nan,0.06792,nan
Laney College,20-21,True,False,1193.0,7.085064293952548,0.70488,7.08801,0.44174,0.03269,0.13915,nan
Las Positas College,20-21,True,False,1876.0,7.537430036586509,0.79332,15.8734,0.73881,0.1935,0.27399,nan
Lassen College,20-21,True,False,540.0,6.293419278846481,0.70729,9.02037,0.36111,0.07037,0.05741,nan
Lemoore College,20-21,True,False,780.0,6.660575149839686,0.6918,13.39487,0.69103,0.12564,0.20641,nan
Long Beach City College,20-21,True,False,4958.0,8.508959386489133,0.59301,12.49647,0.67063,0.12223,0.15551,nan
Los Angeles City College,20-21,True,False,2153.0,7.675081857716334,0.60566,10.6751,0.54482,0.07339,0.13052,nan
Los Angeles Harbor College,20-21,True,False,1104.0,7.007600613951853,0.63639,13.27129,0.66123,0.15761,0.21649,nan
Los Angeles Mission College,20-21,True,False,1208.0,7.097548850614793,0.63646,10.63286,0.57202,0.07947,0.12169,nan
Los Angeles Pierce College,20-21,True,False,3076.0,8.031710375322042,0.71514,15.82363,0.73277,0.18336,0.26073,nan
Los Angeles Southwest College,20-21,True,False,526.0,6.267200548541362,0.63627,10.55608,0.48099,0.09316,0.14639,nan
Los Angeles Trade-Tech College,20-21,True,False,1624.0,7.393263094763838,0.64643,9.57666,0.51293,0.04741,0.03879,nan
Los Angeles Valley College,20-21,True,False,2336.0,7.756623334538858,0.72582,13.09311,0.63014,0.12714,0.09332,nan
Los Medanos College,20-21,True,False,2118.0,7.6586995582682995,0.70948,13.84207,0.66383,0.13787,0.25401,nan
