college,cohort_year,analysis_included,complete_case,cohort_size,log_cohort_size,course_success,avg_successful_units,persistence,completed_30_units,math_english,transfer_4yr
Cosumnes River College,17-18,True,True,3274.0,8.094073148069352,0.64799,10.31261,0.67776,0.05315,0.05864,0.15791
Crafton Hills College,17-18,True,True,1700.0,7.438971592395862,0.67488,10.99603,0.67353,0.07059,0.10412,0.18059
Cuesta College,17-18,True,True,2148.0,7.67275789664251,0.67915,13.59101,0.68948,0.11918,0.12337,0.17039
Cuyamaca College,17-18,True,True,2015.0,7.60887062919126,0.72813,8.91042,0.64516,0.02481,0.15186,0.18213
Cypress College,17-18,True,True,3176.0,8.063692634269517,0.70097,11.36555,0.75378,0.05856,0.08596,0.17758
De Anza College,17-18,True,False,5106.0,8.538367426647644,0.79309,nan,0.76185,nan,0.16725,0.26126
Diablo Valley College,17-18,True,True,4793.0,8.475120414994329,0.7351,14.94824,0.73545,0.16816,0.17797,0.26831
East Los Angeles College,17-18,True,True,8710.0,9.072341873818893,0.66098,9.46389,0.60758,0.05063,0.02113,0.10195
El Camino College,17-18,True,True,5473.0,8.607764889600624,0.6994,13.71752,0.73762,0.13521,0.12187,0.1882
Evergreen Valley College,17-18,True,True,2435.0,7.798112628829788,0.69071,8.17474,0.69938,0.04107,0.09363,0.15893
Feather River College,17-18,True,True,510.0,6.236369590203704,0.78755,12.25098,0.56863,0.13333,0.10784,0.17843
Folsom Lake College,17-18,True,True,2412.0,7.7886260656250315,0.74817,10.88433,0.66003,0.06302,0.08582,0.20191
Foothill College,17-18,True,False,3013.0,8.01102337918644,0.79791,nan,0.61401,nan,0.15002,0.17723
Fresno City College,17-18,True,True,5743.0,8.65591111072806,0.58811,11.5518,0.66707,0.08985,0.09037,0.15079
Fullerton College,17-18,True,True,5706.0,8.649448770536708,0.6444,11.52567,0.74465,0.07694,0.13389,0.18717
Gavilan College,17-18,True,True,1220.0,7.107425474110705,0.66224,10.20451,0.66557,0.07049,0.0877,0.16885
Glendale Community College,17-18,True,True,3770.0,8.235095497258357,0.73148,13.04549,0.73714,0.12706,0.10531,0.20955
Golden West College,17-18,True,True,2659.0,7.886081401775745,0.67721,11.94067,0.70402,0.07296,0.14404,0.20346
Grossmont College,17-18,True,True,4389.0,8.387084506069217,0.6975,10.63557,0.70016,0.0458,0.09228,0.1686
Hartnell College,17-18,True,True,2874.0,7.963807953231451,0.7166,10.10442,0.54593,0.09743,0.07307,0.13814
Imperial Valley College,17-18,True,True,2395.0,7.78155595923534,0.72527,13.48559,0.78747,0.12484,0.04718,0.16159
Irvine Valley College,17-18,True,True,3470.0,8.152198015861787,0.71753,15.15403,0.76657,0.17176,0.19971,0.30576
Lake Tahoe Community College,17-18,True,False,601.0,6.400257445308821,0.69805,nan,0.56905,nan,0.0416,0.1015
Laney College,17-18,True,True,1900.0,7.550135342488429,0.68638,7.46526,0.54,0.03632,0.04105,0.10105
Las Positas College,17-18,True,True,2372.0,7.771910256435763,0.70727,12.02719,0.71501,0.0957,0.15051,0.25632
Lassen College,17-18,True,True,1578.0,7.364547014255642,0.72469,5.891,0.25475,0.04119,0.02345,0.04246
Lemoore College,17-18,True,True,1059.0,6.966024187106113,0.68893,12.91313,0.68272,0.12748,0.08499,0.18602
Long Beach City College,17-18,True,True,5489.0,8.610683534503575,0.59219,10.82811,0.72636,0.06905,0.06486,0.12443
Los Angeles City College,17-18,True,True,4261.0,8.357493812658563,0.66521,9.08601,0.57803,0.03497,0.02136,0.11805
Los Angeles Harbor College,17-18,True,True,2431.0,7.796469243086058,0.68177,14.04813,0.70917,0.13451,0.08227,0.18387
Los Angeles ITV,17-18,False,False,138.0,4.9344739331306915,0.58421,3.64493,0.13043,nan,nan,0.18841
Los Angeles Mission College,17-18,True,True,2943.0,7.987524479848767,0.63587,9.07204,0.61162,0.04213,0.03806,0.11417
Los Angeles Pierce College,17-18,True,True,5125.0,8.542080906924017,0.68049,12.24429,0.6802,0.08683,0.06029,0.21756
Los Angeles Southwest College,17-18,True,True,1601.0,7.379008127628304,0.61722,10.82573,0.58276,0.09681,0.02561,0.15365
Los Angeles Trade-Tech College,17-18,True,True,4494.0,8.410720946905721,0.67805,7.53805,0.52937,0.02314,0.00445,0.0563
Los Angeles Valley College,17-18,True,True,3895.0,8.267705664762426,0.68183,11.68626,0.65186,0.08447,0.03748,0.16534
Los Medanos College,17-18,True,True,2487.0,7.81923445385907,0.68,10.85525,0.64616,0.06433,0.16486,0.15601
Mendocino College,17-18,True,True,911.0,6.815639990074331,0.6968,10.83919,0.59495,0.07684,0.05818,0.07574
Merced College,17-18,True,True,3387.0,8.127995055771946,0.63614,9.78285,0.6395,0.06525,0.07056,0.14969
Merritt College,17-18,True,True,1070.0,6.976348070447749,0.61797,7.07477,0.50374,0.01308,0.03832,0.08131
MiraCosta College,17-18,True,True,3335.0,8.112527763478637,0.69167,12.96882,0.70705,0.10015,0.11364,0.21739
Mission College,17-18,True,True,1727.0,7.454719949364001,0.77858,11.10857,0.6381,0.08975,0.07817,0.16329
Modesto Junior College,17-18,True,True,4548.0,8.422662707570003,0.64933,11.46911,0.70646,0.08245,0.01913,0.13588
Monterey Peninsula College,17-18,True,True,1642.0,7.404279118037268,0.68173,10.86632,0.59562,0.08587,0.07552,0.16139
Moorpark College,17-18,True,True,3481.0,8.155362120328135,0.75508,17.2528,0.78943,0.19362,0.18156,0.34645
Moreno Valley College,17-18,True,True,2459.0,7.807916628926408,0.58444,9.47265,0.54453,0.05897,0.061,0.11427
Mt. San Antonio College,17-18,True,True,6540.0,8.785845337961213,0.69439,12.06881,0.76223,0.0922,0.0708,0.17156
Mt. San Jacinto College,17-18,True,True,4414.0,8.392763113038061,0.67243,12.5973,0.70775,0.07544,0.09832,0.15383
Napa Valley College,17-18,True,True,1435.0,7.269616749608169,0.73462,10.74251,0.6878,0.05993,0.1115,0.15122
Norco College,17-18,True,True,2530.0,7.836369760545124,0.65172,11.04605,0.64545,0.07036,0.11383,0.17036
Ohlone College,17-18,True,True,2059.0,7.630461261783627,0.74184,12.88635,0.73579,0.13502,0.1355,0.25255
Orange Coast College,17-18,True,True,5158.0,8.54849804124465,0.70143,12.76832,0.7594,0.0853,0.14909,0.22935
Oxnard College,17-18,True,True,1714.0,7.44716835960004,0.68477,12.36698,0.70887,0.08343,0.09452,0.16278
Palo Verde College,17-18,True,False,1259.0,7.138866999945524,0.69549,5.5977,0.38125,0.01589,nan,0.01112
Palomar College,17-18,True,True,5987.0,8.69751274553952,0.64692,11.41557,0.65375,0.08134,0.07466,0.16068
Pasadena City College,17-18,True,True,6480.0,8.776630098427717,0.71234,15.4787,0.76713,0.17377,0.14614,0.2466
Porterville College,17-18,True,True,1083.0,6.988413181999592,0.69203,12.07387,0.73038,0.09418,0.10803,0.1819
Reedley College,17-18,True,True,3168.0,8.06117135969092,0.6374,12.26768,0.68876,0.09817,0.05366,0.19697
Rio Hondo College,17-18,True,True,4195.0,8.341886969516187,0.63136,10.01856,0.68296,0.06103,0.06293,0.10298
Riverside City College,17-18,True,True,5564.0,8.624252263709645,0.60835,10.99272,0.6569,0.08771,0.08645,0.14863
Sacramento City College,17-18,True,True,4670.0,8.449128460502108,0.67055,8.994,0.57024,0.05675,0.03833,0.12827
Saddleback College,17-18,True,True,4370.0,8.382747094863314,0.73039,13.81042,0.72883,0.13249,0.12197,0.24989
San Bernardino Valley College,17-18,True,True,3408.0,8.134174272137903,0.63644,9.44704,0.64701,0.05164,0.02582,0.09155
San Diego City College,17-18,True,True,3359.0,8.11969625295725,0.67119,8.07324,0.61298,0.0265,0.05389,0.117
San Diego Mesa College,17-18,True,True,4161.0,8.33375100695358,0.69164,11.12509,0.65826,0.07763,0.13218,0.21149
San Diego Miramar College,17-18,True,True,2990.0,8.003363058629947,0.76457,9.89582,0.62174,0.05686,0.13244,0.21438
San Joaquin Delta College,17-18,True,True,4611.0,8.436416881388949,0.633,12.43212,0.72674,0.108,0.06398,0.13533
San Jose City College,17-18,True,True,2312.0,7.746300662231439,0.72117,7.66133,0.57569,0.03374,0.04542,0.09429
Santa Ana College,17-18,True,True,5432.0,8.600246746551523,0.63163,8.80877,0.5486,0.06591,0.06904,0.09554
Santa Barbara City College,17-18,True,True,3899.0,8.268731832117737,0.7449,16.9258,0.74506,0.19261,0.14953,0.24211
Santa Monica College,17-18,True,True,7110.0,8.869398159883518,0.69981,14.21828,0.74684,0.14051,0.09494,0.20942
Santa Rosa Junior College,17-18,True,True,4142.0,8.329175442077402,0.70205,13.15029,0.69435,0.1113,0.0845,0.16924
Santiago Canyon College,17-18,True,True,3340.0,8.114025442356757,0.70115,11.32168,0.72006,0.08653,0.12994,0.19641
Shasta College,17-18,True,True,3885.0,8.265135629937385,0.69119,8.5,0.47928,0.06692,0.04813,0.11969
Sierra College,17-18,True,True,4642.0,8.443115988019922,0.71591,13.82691,0.72878,0.11676,0.16286,0.22361
Skyline College,17-18,True,True,1810.0,7.501634457883413,0.72699,14.86878,0.71381,0.16133,0.17182,0.23481
Solano Community College,17-18,True,True,2301.0,7.741533589281828,0.66011,11.3518,0.62451,0.09213,0.10995,0.15472
Southwestern College,17-18,True,True,5141.0,8.545197387825835,0.66734,11.03112,0.72768,0.05991,0.05583,0.15114
Taft College,17-18,True,True,1301.0,7.171656822768514,0.79437,10.86914,0.51268,0.1153,0.04612,0.12759
Ventura College,17-18,True,True,2858.0,7.958227192322312,0.72051,14.68789,0.72358,0.14066,0.15955,0.21519
Victor Valley College,17-18,True,True,3792.0,8.2409125416889,0.61741,9.8746,0.66007,0.05775,0.0385,0.10839
West Los Angeles College,17-18,True,True,2645.0,7.880804344674901,0.6551,9.43365,0.55766,0.062,0.03138,0.1225
West Valley College,17-18,True,True,1908.0,7.554334823725748,0.71625,13.67977,0.71541,0.13522,0.12579,0.24266
Woodland Community College,17-18,True,True,877.0,6.777646593635117,0.67236,9.96294,0.64994,0.04789,0.05473,0.13797
Yuba College,17-18,True,True,1314.0,7.181591944611865,0.66869,11.32192,0.69178,0.06697,0.05708,0.121
Allan Hancock College,18-19,True,True,2691.0,7.898039690764619,0.62893,13.55871,0.699,0.13638,0.14233,0.15013
American River College,18-19,True,True,6401.0,8.764365720529808,0.7215,9.38657,0.70239,0.04312,0.07202,0.11311
Antelope Valley College,18-19,True,True,3650.0,8.202756381655638,0.68959,12.33555,0.72,0.09452,0.08685,0.13589
Bakersfield College,18-19,True,True,6361.0,8.758098072309089,0.58869,11.51965,0.68527,0.08568,0.06477,0.13111
Barstow College,18-19,True,True,864.0,6.762729506931879,0.73324,13.0353,0.58333,0.13079,0.05324,0.15046
Berkeley City College,18-19,True,True,1125.0,7.026426808699636,0.69116,9.35778,0.59644,0.04711,0.16444,0.19644
Butte College,18-19,True,True,2545.0,7.842278779117352,0.71779,15.91847,0.71866,0.13831,0.16621,0.19136
Cabrillo College,18-19,True,True,2188.0,7.691200097522863,0.68087,12.25663,0.71161,0.08867,0.12066,0.17687
Canada College,18-19,True,True,1163.0,7.059617628291383,0.63985,8.82072,0.62855,0.07137,0.12296,0.16681
Cerritos College,18-19,True,True,5748.0,8.656781205623291,0.66444,10.54602,0.70877,0.0715,0.06176,0.11952
Cerro Coso Community College,18-19,True,True,1319.0,7.1853870155804165,0.68172,10.1323,0.5163,0.06596,0.03639,0.07657
Chabot College,18-19,True,True,3167.0,8.060855752934316,0.6777,10.30423,0.66277,0.07452,0.07736,0.15093
Chaffey College,18-19,True,True,5676.0,8.644178203170727,0.63975,10.31091,0.68428,0.04228,0.04845,0.12421
Citrus College,18-19,True,True,3037.0,8.018954683155718,0.67607,15.82828,0.73625,0.18736,0.20119,0.20053
City College of San Francisco,18-19,True,True,5139.0,8.544808358449211,0.69642,10.72864,0.60615,0.08757,0.08932,0.13719
Clovis Community College,18-19,True,True,2017.0,7.609862200913554,0.68413,12.95464,0.68765,0.118,0.20724,0.26227
Coalinga College,18-19,True,True,1170.0,7.065613363597717,0.72177,12.05726,0.6812,0.08547,0.05897,0.19658
Coastline Community College,18-19,True,True,2048.0,7.6251071482389,0.66992,6.89526,0.47314,0.02295,0.03369,0.08105
College of Alameda,18-19,True,True,953.0,6.860663671448287,0.66441,7.33998,0.51522,0.03463,0.16999,0.16999
College of Marin,18-19,True,True,1116.0,7.018401799069201,0.68999,9.61335,0.62993,0.06183,0.06272,0.15502
College of San Mateo,18-19,True,True,2042.0,7.622174594817622,0.68174,12.99167,0.70911,0.11312,0.1714,0.2522
College of the Canyons,18-19,True,True,3993.0,8.29254851397576,0.7355,16.94235,0.73003,0.2026,0.19083,0.23666
College of the Desert,18-19,True,True,3219.0,8.077136638538454,0.64939,12.2361,0.71606,0.07518,0.03138,0.1516
College of the Redwoods,18-19,True,True,1259.0,7.138866999945524,0.66306,13.24861,0.62828,0.10961,0.10326,0.12708
College of the Sequoias,18-19,True,True,3437.0,8.142645185942795,0.71629,15.7991,0.73582,0.16177,0.09078,0.17806
College of the Siskiyous,18-19,True,True,438.0,6.0844994130751715,0.69415,15.07763,0.67123,0.121,0.24201,0.20091
Columbia College,18-19,True,True,915.0,6.82001636467413,0.69164,12.34426,0.64699,0.10383,0.09836,0.14317
Compton College,18-19,True,True,1011.0,6.919683849847411,0.59946,9.56182,0.53215,0.05341,0.04055,0.09397
Contra Costa College,18-19,True,True,1507.0,7.318539548567902,0.64571,9.13088,0.58261,0.06171,0.09224,0.10617
Copper Mountain College,18-19,True,True,480.0,6.175867270105761,0.68935,9.24235,0.59167,0.04375,0.07917,0.13333
Cosumnes River College,18-19,True,True,3358.0,8.119398589612294,0.66175,11.15863,0.68076,0.06909,0.11554,0.19089
Crafton Hills College,18-19,True,True,1666.0,7.418780882750794,0.67593,11.57023,0.67107,0.06783,0.12245,0.17467
Cuesta College,18-19,True,True,2275.0,7.730174795246222,0.67165,13.96352,0.68923,0.13407,0.16396,0.18374
Cuyamaca College,18-19,True,True,1633.0,7.3987862754199485,0.72098,9.49878,0.59951,0.03797,0.19167,0.15554
Cypress College,18-19,True,True,3364.0,8.121183242078828,0.69237,12.55455,0.73514,0.08799,0.11177,0.18757
De Anza College,18-19,True,False,4997.0,8.516793111394898,0.79169,nan,0.78627,nan,0.26856,0.29478
Diablo Valley College,18-19,True,True,4727.0,8.461257559085935,0.74412,15.15773,0.72477,0.17538,0.19145,0.2674
East Los Angeles College,18-19,True,True,5411.0,8.59637398929068,0.6104,11.88824,0.64387,0.08908,0.06117,0.10663
El Camino College,18-19,True,True,5249.0,8.565983355585669,0.68055,13.71595,0.74548,0.12841,0.1566,0.19451
Evergreen Valley College,18-19,True,True,2446.0,7.802618063442671,0.66879,9.79027,0.70319,0.06173,0.14309,0.18316
Feather River College,18-19,True,True,523.0,6.261491684321042,0.8082,13.83174,0.60421,0.13767,0.10899,0.16635
Folsom Lake College,18-19,True,True,2437.0,7.798933310041217,0.72732,12.16844,0.65654,0.09151,0.15183,0.22979
Foothill College,18-19,True,False,2767.0,7.92588031673756,0.76344,nan,0.62667,nan,0.18865,0.16805
Fresno City College,18-19,True,True,5173.0,8.551401362745974,0.58612,11.06428,0.65726,0.08564,0.09163,0.12991
Fullerton College,18-19,True,True,5276.0,8.571113033405668,0.64628,12.63069,0.73199,0.09268,0.15258,0.19541
Gavilan College,18-19,True,True,1326.0,7.190676034332207,0.67201,10.94231,0.62821,0.07843,0.11916,0.15234
Glendale Community College,18-19,True,True,3532.0,8.169902647359145,0.73895,15.32078,0.75481,0.17242,0.12514,0.24292
Golden West College,18-19,True,True,2779.0,7.930206206684683,0.68646,12.83861,0.68622,0.10471,0.17524,0.20655
Grossmont College,18-19,True,True,4138.0,8.328209491748732,0.66616,11.7268,0.70662,0.06066,0.15732,0.17738
Hartnell College,18-19,True,True,3122.0,8.046549357283078,0.68689,10.00128,0.53203,0.09641,0.12492,0.11819
Imperial Valley College,18-19,True,True,2341.0,7.758760544157663,0.70361,14.48633,0.79624,0.14908,0.0645,0.16275
Irvine Valley College,18-19,True,True,3526.0,8.168202930236053,0.73427,16.00794,0.78049,0.18888,0.2405,0.30573
Lake Tahoe Community College,18-19,True,False,693.0,6.542471960506805,0.70859,nan,0.557,nan,0.04473,0.08658
Laney College,18-19,True,True,1703.0,7.440733707389261,0.68241,6.58779,0.53553,0.02995,0.06753,0.101
Las Positas College,18-19,True,True,2299.0,7.7406644019172415,0.73456,13.32536,0.74511,0.12266,0.19052,0.2575
Lassen College,18-19,True,True,1645.0,7.406103381237015,0.72766,5.86201,0.25228,0.03404,0.02675,0.03465
Lemoore College,18-19,True,True,1163.0,7.059617628291383,0.69601,13.73603,0.6896,0.13328,0.1178,0.22098
Long Beach City College,18-19,True,True,5048.0,8.526945482858915,0.59283,11.58459,0.7082,0.08023,0.07726,0.11965
Los Angeles City College,18-19,True,True,2466.0,7.810758116529357,0.64255,10.81204,0.59651,0.06326,0.04582,0.10949
Los Angeles Harbor College,18-19,True,True,1592.0,7.373374309910049,0.64816,11.97048,0.69095,0.07098,0.12249,0.16018
Los Angeles ITV,18-19,False,False,92.0,4.532599493153256,0.50435,2.3913,nan,0.0,nan,0.1413
Los Angeles Mission College,18-19,True,True,1903.0,7.55171221535131,0.59254,9.94561,0.6248,0.03731,0.07357,0.09354
Los Angeles Pierce College,18-19,True,True,4140.0,8.328692583545568,0.68273,13.58551,0.71377,0.13213,0.10338,0.2087
Los Angeles Southwest College,18-19,True,True,1102.0,7.005789019253503,0.57996,8.82577,0.52632,0.05445,0.03993,0.098
Los Angeles Trade-Tech College,18-19,True,True,2946.0,7.988542982737695,0.6626,9.09997,0.53598,0.03462,0.01969,0.03971
Los Angeles Valley College,18-19,True,True,3298.0,8.101374671228582,0.66064,11.22332,0.63129,0.08005,0.05488,0.15797
Los Medanos College,18-19,True,True,2529.0,7.835974581721566,0.68089,12.04429,0.66509,0.07948,0.22183,0.172
Mendocino College,18-19,True,True,875.0,6.775366090936392,0.67887,10.44229,0.55771,0.06857,0.072,0.07771
Merced College,18-19,True,True,2937.0,7.9854843567338225,0.64246,12.01583,0.6871,0.10521,0.10453,0.13892
Merritt College,18-19,True,True,938.0,6.844815479208263,0.621,7.13699,0.50426,0.02026,0.06077,0.10448
MiraCosta College,18-19,True,True,3081.0,8.033334015880062,0.70339,13.90133,0.73223,0.111,0.13859,0.22882
Mission College,18-19,True,True,1677.0,7.425357887027151,0.77536,9.95796,0.59273,0.07215,0.09839,0.14431
Modesto Junior College,18-19,True,True,4814.0,8.479491324232226,0.6398,11.86041,0.7017,0.09576,0.03614,0.14562
Monterey Peninsula College,18-19,True,True,1512.0,7.321849713788356,0.67158,11.45866,0.61574,0.10516,0.09524,0.17923
Moorpark College,18-19,True,True,3445.0,8.144969417087875,0.74837,17.47816,0.79129,0.19913,0.18578,0.33933
Moreno Valley College,18-19,True,True,2611.0,7.867871490396322,0.61598,12.81999,0.61011,0.12026,0.08809,0.12907
Mt. San Antonio College,18-19,True,True,6334.0,8.75384509275524,0.68659,14.66404,0.77518,0.1402,0.12867,0.20224
Mt. San Jacinto College,18-19,True,True,4737.0,8.463370384718731,0.62974,11.2985,0.67532,0.06565,0.13616,0.15326
Napa Valley College,18-19,True,True,1269.0,7.146772179452637,0.72656,10.75296,0.66588,0.07171,0.12924,0.16785
Norco College,18-19,True,True,2402.0,7.784473235736469,0.66725,11.29621,0.65862,0.0766,0.13614,0.17361
Ohlone College,18-19,True,True,2099.0,7.649692623711514,0.76596,14.78394,0.76608,0.15007,0.24011,0.30491
Orange Coast College,18-19,True,True,4700.0,8.45553053102413,0.70173,13.29309,0.75511,0.0934,0.16149,0.23894
Oxnard College,18-19,True,True,1807.0,7.4999765409521215,0.67364,13.17598,0.71776,0.11511,0.15551,0.15329
Palo Verde College,18-19,True,False,950.0,6.85751406254539,0.64182,7.38921,0.50105,0.02,nan,0.01368
Palomar College,18-19,True,True,6153.0,8.724857555881988,0.64845,12.1778,0.6665,0.08922,0.08045,0.16724
Pasadena City College,18-19,True,True,6001.0,8.699848026000312,0.71002,16.7932,0.76054,0.20463,0.21263,0.26112
Porterville College,18-19,True,True,1185.0,7.078341579557671,0.71212,14.61013,0.73755,0.14937,0.15612,0.18143
Reedley College,18-19,True,True,2580.0,7.855932199718614,0.63732,12.04302,0.67674,0.09225,0.09961,0.16434
Rio Hondo College,18-19,True,True,4248.0,8.354438940114811,0.60625,10.49543,0.68456,0.07745,0.08522,0.1064
Riverside City College,18-19,True,True,5778.0,8.661985936317778,0.61205,11.58749,0.67117,0.10107,0.08861,0.14676
Sacramento City College,18-19,True,True,4681.0,8.451480648050856,0.65173,9.3965,0.56099,0.05725,0.08716,0.13459
Saddleback College,18-19,True,True,4424.0,8.39502555744203,0.74863,15.13205,0.73418,0.16614,0.15054,0.26401
San Bernardino Valley College,18-19,True,True,3347.0,8.116118431609365,0.63365,9.10592,0.64954,0.0499,0.02181,0.08515
San Diego City College,18-19,True,True,2968.0,7.99598047476376,0.68412,8.9717,0.58827,0.03706,0.06098,0.12972
San Diego Mesa College,18-19,True,True,4009.0,8.296546520300614,0.68583,12.07845,0.66201,0.08955,0.17785,0.20703
San Diego Miramar College,18-19,True,True,2696.0,7.89989532313973,0.76788,10.96068,0.63947,0.07344,0.15912,0.2411
San Joaquin Delta College,18-19,True,True,4622.0,8.438799123988225,0.63009,12.9987,0.7116,0.12505,0.06383,0.15405
San Jose City College,18-19,True,True,1841.0,7.518607216815252,0.70603,9.10185,0.56437,0.06355,0.07659,0.11081
Santa Ana College,18-19,True,True,5402.0,8.594709633844065,0.63601,9.36248,0.54535,0.07201,0.07775,0.09626
Santa Barbara City College,18-19,True,True,3696.0,8.215276958936633,0.7299,17.63642,0.75893,0.22132,0.17911,0.24946
Santa Monica College,18-19,True,True,7029.0,8.857941984804711,0.69517,15.54481,0.75317,0.16546,0.10713,0.2134
Santa Rosa Junior College,18-19,True,True,4105.0,8.32020459757888,0.69835,13.19478,0.69793,0.12107,0.08551,0.17004
Santiago Canyon College,18-19,True,True,2686.0,7.8961806086154915,0.67505,12.86962,0.69769,0.12807,0.17349,0.2178
Shasta College,18-19,True,True,1732.0,7.457609289715606,0.65633,13.18764,0.65127,0.11432,0.0791,0.12702
Sierra College,18-19,True,True,4740.0,8.464003362902119,0.70918,15.04873,0.73523,0.15443,0.17764,0.22743
Skyline College,18-19,True,True,1622.0,7.392031567514591,0.72451,15.21486,0.7016,0.17263,0.19297,0.22626
Solano Community College,18-19,True,True,2327.0,7.752764808851328,0.68506,12.44284,0.63902,0.10142,0.13236,0.17061
Southwestern College,18-19,True,True,5575.0,8.62622695244036,0.68379,10.93731,0.68753,0.0678,0.073,0.1435
Taft College,18-19,True,True,1192.0,7.084226422097916,0.75824,10.71141,0.49581,0.10654,0.04698,0.11326
Ventura College,18-19,True,True,2814.0,7.942717540573791,0.70918,14.65636,0.71891,0.15139,0.17875,0.20647
Victor Valley College,18-19,True,True,3374.0,8.12415060330663,0.61711,9.42012,0.64967,0.0492,0.04831,0.09692
West Los Angeles College,18-19,True,True,1834.0,7.51479976048867,0.63015,10.3765,0.52999,0.0807,0.03272,0.12541
West Valley College,18-19,True,True,1671.0,7.421775793644647,0.73673,13.96738,0.7289,0.13525,0.15739,0.27349
Woodland Community College,18-19,True,True,793.0,6.677083461247136,0.64297,11.65889,0.64439,0.07188,0.10845,0.15889
Yuba College,18-19,True,True,1522.0,7.328437352895162,0.67508,13.50526,0.68528,0.12681,0.10381,0.16294
Allan Hancock College,19-20,True,True,2641.0,7.879291485082271,0.69971,14.45759,0.70352,0.16092,0.16547,0.15146
American River College,19-20,True,True,5819.0,8.669055540725484,0.74607,8.95803,0.63636,0.04984,0.10328,0.12614
Antelope Valley College,19-20,True,True,3897.0,8.268218880067506,0.67115,13.18116,0.67334,0.11162,0.17629,0.13523
Bakersfield College,19-20,True,True,6169.0,8.727454116899434,0.61703,11.87932,0.67239,0.10261,0.08429,0.12482
Barstow College,19-20,True,True,862.0,6.760414691083428,0.72341,14.35035,0.59629,0.17169,0.18097,0.16473
Berkeley City College,19-20,True,True,1073.0,6.97914527506881,0.76156,10.46645,0.59739,0.06337,0.22926,0.20317
Butte College,19-20,True,True,2555.0,7.846198815497425,0.74278,15.15607,0.74012,0.13777,0.20861,0.17808
Cabrillo College,19-20,True,True,2279.0,7.731930721948486,0.71645,12.97996,0.6968,0.10443,0.14129,0.17376
Canada College,19-20,True,True,971.0,6.879355804460439,0.67289,10.85891,0.57878,0.08342,0.21421,0.20597
Cerritos College,19-20,True,True,5813.0,8.668024081118821,0.66464,11.52056,0.6888,0.09186,0.11388,0.123
Cerro Coso Community College,19-20,True,True,1272.0,7.149131598557407,0.72051,10.35338,0.52123,0.07154,0.07154,0.1022
Chabot College,19-20,True,True,3098.0,8.038834757787749,0.71765,10.86249,0.64977,0.09393,0.10878,0.1601
Chaffey College,19-20,True,True,5293.0,8.574329382787047,0.64001,11.02031,0.67731,0.07387,0.1109,0.12904
Citrus College,19-20,True,True,2958.0,7.99260665240021,0.71001,16.19354,0.72346,0.21095,0.26775,0.20385
City College of San Francisco,19-20,True,True,4419.0,8.393894975071744,0.72963,11.31557,0.6162,0.10093,0.12446,0.1575
Clovis Community College,19-20,True,True,2065.0,7.633369649679584,0.73256,15.3155,0.73559,0.18063,0.27603,0.26538
Coalinga College,19-20,True,True,796.0,6.680854678790215,0.70554,9.56187,0.56407,0.07915,0.09673,0.13065
Coastline Community College,19-20,True,True,1626.0,7.394493107219038,0.64854,6.33702,0.44034,0.02522,0.05043,0.07934
College of Alameda,19-20,True,True,885.0,6.786716950605081,0.76972,8.22203,0.52316,0.04859,0.20452,0.17966
College of Marin,19-20,True,True,1121.0,7.022868086082641,0.72118,10.34166,0.60036,0.06869,0.10616,0.15254
College of San Mateo,19-20,True,True,1868.0,7.533158807455563,0.71024,14.20155,0.67827,0.1424,0.22323,0.2848
College of the Canyons,19-20,True,True,3945.0,8.28045768658256,0.74317,18.69112,0.71711,0.26008,0.28137,0.25298
College of the Desert,19-20,True,True,3642.0,8.200562797008564,0.70379,12.72117,0.65129,0.09995,0.03762,0.13674
